timestamp,hum_air,temperature,lumiere
2026-04-23 17:29:52,16.0,34.3,561
2026-04-23 17:29:54,16.0,34.4,560
2026-04-23 17:29:56,16.0,34.4,559
2026-04-23 17:29:58,16.0,34.4,553
2026-04-23 17:30:01,16.0,34.4,546
2026-04-23 17:30:03,16.0,34.4,544
2026-04-23 17:30:05,16.0,34.4,543
2026-04-23 17:30:07,16.0,34.4,541
2026-04-23 17:30:09,16.0,34.4,542
2026-04-23 17:30:11,16.0,34.4,542
2026-04-23 17:30:13,16.0,34.4,545
2026-04-23 17:30:15,16.0,34.4,561
2026-04-23 17:30:17,16.0,34.4,558
2026-04-23 17:30:19,16.0,34.4,544
2026-04-23 17:30:21,16.0,34.4,560
2026-04-23 17:30:23,16.0,34.4,563
2026-04-23 17:30:25,16.0,34.4,550
2026-04-23 17:30:27,16.0,34.4,561
2026-04-23 17:30:29,16.0,34.4,567
2026-04-23 17:30:31,16.0,34.4,556
2026-04-23 17:30:33,16.0,34.4,549
2026-04-23 17:30:35,16.0,34.4,565
2026-04-23 17:30:37,16.0,34.4,561
2026-04-23 17:30:39,16.0,34.4,548
2026-04-23 17:30:41,16.0,34.4,555
2026-04-23 17:30:43,16.0,34.4,563
2026-04-23 17:30:45,16.0,34.4,565
2026-04-23 17:30:47,16.0,34.4,563
2026-04-23 17:30:49,16.0,34.5,554
2026-04-23 17:30:51,16.0,34.5,552
2026-04-23 17:30:53,16.0,34.5,565
2026-04-23 17:30:55,16.0,34.5,551
2026-04-23 17:30:57,16.0,34.4,566
2026-04-23 17:30:59,16.0,34.4,555
2026-04-23 17:31:01,16.0,34.4,550
2026-04-23 17:31:03,16.0,34.4,558
2026-04-23 17:31:06,16.0,34.4,563
2026-04-23 17:31:08,16.0,34.4,565
2026-04-23 17:31:10,16.0,34.4,565
2026-04-23 17:31:12,16.0,34.4,564
2026-04-23 17:31:14,16.0,34.4,562
2026-04-23 17:31:16,16.0,34.4,556
2026-04-23 17:31:18,16.0,34.4,551
2026-04-23 17:31:20,16.0,34.4,553
2026-04-23 17:31:22,16.0,34.4,562
2026-04-23 17:31:24,16.0,34.4,566
2026-04-23 17:31:26,16.0,34.5,566
2026-04-23 17:31:28,16.0,34.5,560
2026-04-23 17:31:30,16.0,34.5,545
2026-04-23 17:31:32,16.0,34.5,553
2026-04-23 17:31:34,16.0,34.5,564
2026-04-23 17:31:36,16.0,34.5,552
2026-04-23 17:31:38,16.0,34.4,554
2026-04-23 17:31:40,16.0,34.5,563
2026-04-23 17:31:42,16.0,34.5,563
2026-04-23 17:31:44,16.0,34.5,548
2026-04-23 17:31:46,16.0,34.4,546
2026-04-23 17:31:48,16.0,34.4,554
2026-04-23 17:31:50,16.0,34.4,562
2026-04-23 17:31:52,16.0,34.4,561
2026-04-23 17:31:54,16.0,34.5,558
2026-04-23 17:31:56,16.0,34.5,529
2026-04-23 17:31:58,16.0,34.5,516
2026-04-23 17:32:00,16.0,34.5,468
2026-04-23 17:32:02,16.0,34.5,543
2026-04-23 17:32:04,16.0,34.5,535
2026-04-23 17:32:06,16.0,34.5,489
2026-04-23 17:32:08,16.0,34.5,542
2026-04-23 17:32:11,16.0,34.5,518
2026-04-23 17:32:13,16.0,34.5,541
2026-04-23 17:32:15,16.0,34.5,529
2026-04-23 17:32:17,16.0,34.5,550
2026-04-23 17:32:19,16.0,34.5,535
2026-04-23 17:32:21,16.0,34.5,541
2026-04-23 17:32:23,16.0,34.5,546
2026-04-23 17:32:25,16.0,34.5,551
2026-04-23 17:32:27,16.0,34.5,547
2026-04-23 17:32:29,16.0,34.5,496
2026-04-23 17:32:31,16.0,34.5,543
2026-04-23 17:32:33,16.0,34.5,559
2026-04-23 17:32:35,16.0,34.5,545
